459,Porbandar,Kuchhadi,7.43,4221,2828.07,0,976,752,27,177,1.1,801,100,97,650,603,105.78,10.28
460,Porbandar,Kutiyana1,7.23,390,261.3,0,183,35,4.0,20,0.88,150,36.0,15,150.0,33,4.12,1.17
461,Porbandar,Miyani,7.22,2074,1389.58,0,488,277,170.0,86,0.16,400,52.0,12,180.0,361,46.27,11.7
462,Porbandar,Mocha,7.18,6800,4556.0,0,366,2199,14.0,28,0.09,300,220.0,298,1775.0,751,30.66,7.75
463,Porbandar,Mojiwana,7.41,1340,897.8,0,403,177,21.0,65,0.73,331,24.0,41,230.0,201,1.58,5.76
464,Porbandar,Navibandar,7.12,810,542.7,0,195,121,39.0,44,0.42,160,40.0,27,210.0,80,7.16,2.4
465,Porbandar,Oddar(Gosa),7.52,8810,5902.7,0,366,2624,30.0,440,0.63,300,100.0,420,1975.0,1125,42.0,11.01
466,Porbandar,Palkhada1,7.36,2950,1976.5,0,354,660,117.0,178,0.5,290,44.0,133,655.0,363,40.89,6.17
467,Porbandar,Pata(पाता),7.63,1010,676.7,0,305,135,9.0,55,0.48,250,40.0,39,260.0,110,3.46,2.97
468,Porbandar,Porbandar1,7.16,1410,944.7,0,451,227,4.0,103,0.93,370,40.0,34,240.0,230,26.43,6.45
469,Porbandar,Ranavav2,7.15,1160,777.2,0,305,191,71.0,37,0.56,250,20.0,86,405.0,95,1.65,2.05
470,Porbandar,Ratadi,7.87,2810,1882.7,0,451,574,25.0,194,1.3,370,32.0,51,290.0,524,6.06,13.38
471,Porbandar,Ratia,7.15,2801,1876.67,0,329,652,101.0,121,0.35,270,24.0,119,550.0,293,160.0,5.43
472,Porbandar,Simar,7.38,460,308.2,0,49,50,104.0,33,0.42,40,24.0,24,160.0,30,2.26,1.03
473,Porbandar,Tukda(Gosa),7.61,1302,872.34,0,268,184,116.0,76,0.31,220,44.0,27,220.0,170,49.43,4.98
474,Porbandar,Visavada,7.46,1730,1159.1,0,232,362,16.0,141,1.91,190,56.0,64,405.0,197,16.58,4.26
475,Rajkot,Goghavadar,7.04,1171,785.0,0,220,184,82.0,115,0.82,180,92.184,54,450.0,89,2.64,1.8
476,Rajkot,kamlapur 1,7.02,2705,1812.0,0,73,716,135.0,176,0.54,60,240.48,36,751.0,295,2.4,4.7
477,Rajkot,Kalithad 1,7.38,1212,812.0,0,146,277,31.0,77,0.59,120,104.208,29,380.0,98,0.56,2.2
478,Rajkot,Lalavadar,7.5,656,440.0,0,317,43,16.0,21,0.67,260,60.12,27,260.0,43,0.75,1.2
479,Rajkot,Bhadla,7.02,2040,1367.0,0,171,482,96.0,127,0.45,140,124.248,95,701.0,170,2.2,2.8
480,Rajkot,Movaiya,7.19,8752,5864.0,0,256,2652,168.0,615,0.74,210,573.0,467,3353.0,690,0.72,5.2
481,Rajkot,Motadadva,7.4,1515,1015.0,0,195,355,60.0,120,0.5,160,120.0,83,641.0,85,3.4,1.5
482,Rajkot,Upleta,7.83,2630,1762.0,0,720,468,36.0,60,3.1,590,28.0,27,180.0,565,0.88,18.3
483,Rajkot,Virnagar,7.99,2167,1452.0,0,427,489,34.0,95,0.62,350,52.0,122,631.0,265,0.36,4.6
484,Rajkot,Dhorajee,7.63,645,432.0,0,146,121,5.8,37,0.35,120,40.0,29,220.0,52,3.2,1.5
485,Rajkot,Jamvadi,7.43,729,488.0,0,183,135,4.8,40,0.5,150,48.0,29,240.0,62,3.6,1.7
486,Rajkot,Ganod,7.68,6006,4024.0,0,464,1432,27.0,694,2.9,380,128.0,122,821.0,1125,1.9,17.1
487,Rajkot,Targhari,7.78,657,440.0,0,220,99,4.8,33,0.81,180,36.0,29,210.0,66,1.3,2.0
488,Rajkot,Chordi,7.47,1199,803.0,0,244,206,102.0,51,0.75,200,112.0,41,450.0,70,0.37,1.4
489,Rajkot,kamlapur,7.0,2702,1810.0,0,73,716,125.0,172,0.59,60,253.0,29,751.0,292,2.3,4.6
490,Rajkot,Khirsara,7.14,1450,972.0,0,415,241,6.4,80,0.1,340,100.0,68,530.0,93,3.9,1.8
491,Rajkot,Dadiya,7.56,850,570.0,0,134,106,102.0,83,0.4,110,52.0,41,300.0,56,0.83,1.4
492,Rajkot,Vinchchiya,7.38,1778,1191.0,0,342,291,128.0,123,0.66,280,136.0,58,580.0,150,2.2,2.7
493,Rajkot,Halenda,7.49,1767,1184.0,0,342,333,48.0,121,0.46,280,64.0,114,631.0,122,4.8,2.1
494,Rajkot,Khamta,7.87,2246,1505.0,0,329,383,93.0,228,0.53,270,100.0,63,510.0,259,6.1,5.0
495,Rajkot,Sardhar 2,7.72,1735,1162.0,0,610,184,37.0,84,0.38,500,64.0,46,350.28,185,74.0,4.3
496,Rajkot,Jasapar,7.69,1054,706.0,0,73,170,82.0,117,0.33,60,68.136,39,330.264,72,0.8,1.7
