S.No,District,Taluka,Location,pH,EC,TDS,TH,Ca,Mg,Na,K,CO3,HCO3,Cl,NO3,SO4,F,Alk,Fe
506,Surendranagar,LIMBDI,Limbdi1,7.9,3175,2127,400,72,54,393,155.0,0,1257,270,51,270,1.4,1030,0.27
507,Surendranagar,Chotila,Moti Moladi,7.7,7380,4945,3100,320,559,200,1.1,0,268,1775,48,710,0.45,220,0.128
508,Surendranagar,MULI,Muli,8.28,3275,2194,260,48,34,635,1.2,0,622,696,42,90,3.28,510,0.096
509,Surendranagar,Dasada,Pipli,7.96,536,359,160,28,22,62,7.5,0,220,57,8,24,0.65,180,0.046
510,Surendranagar,DHRANGADHRA,Rajsitapur,8.65,1325,888,110,20,13,256,5.0,72,317,192,11,0,1.38,380,0.0
511,Surendranagar,MULI,Sara,7.65,3485,2335,720,192,58,447,11.4,0,354,738,70,276,1.3,290,0.002
512,Surendranagar,MULI,Sarla,8.0,1424,954,410,108,34,156,32.1,0,464,199,70,25,0.8,380,0.11
513,Surendranagar,LIMBDI,Shiyani,7.83,1059,710,200,68,7,145,9.3,0,317,135,40,28,0.58,260,0.721
514,Surendranagar,Sayla,Sudamda,7.59,3565,2389,1220,304,112,260,2.2,0,195,809,165,323,0.25,160,0.31
515,Surendranagar,DASADA,Visawadi,8.05,3522,2360,640,120,83,508,17.8,0,366,795,95,221,0.85,300,0.0
516,Surendranagar,LAKHTAR,Vitthalgarh,7.88,2863,1918,560,184,24,392,29.7,0,366,525,22,330,0.44,300,0.079
517,The dangs,WADHWAN,Warod,7.99,991,664,230,64,17,154,34.5,0,464,85,23,40,0.95,380,2.104
518,The dangs,The dangs,Aherdi,7.8,337,226,180,40,19,29,0.3,0,220,21,6,27,0.04,180,0.277
519,The dangs,The dangs,Ahwa1,7.73,893,598,300,76,27,63,12.3,0,256,114,23,44,0.1,210,0.089
520,The dangs,The Dangs,Ambapada,8.2,367,246,190,48,17,20,0.5,0,244,21,3,1,0.2,200,0.346
521,The dangs,The Dangs,Bori Goatha 1,7.76,477,320,240,64,19,18,0.3,0,220,28,16,43,0.25,180,0.532
522,The dangs,The Dang,Boripada,7.74,380,255,190,52,15,14,0.0,0,195,28,7,13,0.36,160,0.0
523,The dangs,The dangs,Chikhli,7.89,400,268,200,52,17,21,0.2,0,244,14,1,24,0.05,200,1.577
524,The dangs,The dangs,Chinchnogaotha,7.57,656,440,290,76,24,13,0.4,0,244,50,41,13,0.2,200,0.016
525,The dangs,The dangs,Dhumkal,7.69,362,243,170,28,12,29,3.1,0,244,14,1,11,0.2,200,0.142
526,The dangs,The dangs,Ghubita,7.59,407,273,190,52,15,34,0.7,0,256,21,4,20,0.15,210,0.566
527,The dangs,The dangs,Jakana,8.24,548,367,240,68,17,17,0.7,0,195,43,47,17,0.2,160,0.123
528,The dangs,The dangs,Kalibel,7.61,1114,746,470,96,56,62,16.6,0,354,178,9,51,0.12,290,1.544
529,The dangs,The dangs,Malegaon,7.94,394,264,170,48,12,17,0.7,0,195,28,6,2,0.25,160,0.603
530,The dangs,The dangs,Nadak khadi,7.99,442,296,210,44,24,21,0.5,0,244,21,15,12,0.36,200,0.165
531,The dangs,The dangs,Nana pada,7.92,396,265,190,48,17,15,0.4,0,244,14,2,1,0.12,200,0.471
532,The dangs,The dangs,Sodmal,7.87,413,277,200,52,17,17,0.3,0,244,21,3,4,0.2,200,0.337
533,The dangs,The dangs,Subir,7.74,393,263,170,40,17,24,1.2,0,207,28,4,8,0.2,170,0.23
534,The dangs,The dangs,Umberpada,7.83,359,241,180,44,17,27,0.1,0,244,21,0,8,0.15,200,23.71
535,The dangs,The dangs,Vazat Amba,7.7,441,295,220,48,24,15,0.2,0,232,28,9,14,0.12,190,0.085
536,Vadodara,SANKHEDA,Alladpur,8.25,1582,1060,520,108,60,138,21.1,0,659,156,35,25,1.15,540,0.022
537,Vadodara,DABHOI,Amreshwar,8.02,2852,1911,900,100,156,230,11.2,0,354,638,17,176,0.52,290,0.058
538,Vadodara,CHHOTA UDAIPUR,Asala,7.63,1109,743,420,152,10,48,0.9,0,232,184,74,8,1.12,190,0.059
539,Vadodara,SAVLI,Chhaliyar,8.41,794,532,270,20,53,66,1.3,72,195,35,20,64,0.48,280,0.0
